"海天味业[603288.SH] - 资产负债表 (单位 : 万元 , CNY  )",2023-03-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
报告期,一季报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
流动资产：,,,,,,,,,,,,,,,
    货币资金,"1,923,940.04","1,822,330.74","1,981,376.74","1,695,767.50","1,345,553.27","945,721.00","561,291.92","519,657.45","451,909.11","511,756.51","226,483.87","250,283.30","144,418.90","121,395.55","132,690.63"
    交易性金融资产,"594,583.04","608,166.30","537,781.87","505,473.52","487,814.23",,,,,,,,,,"39,000.00"
    衍生金融资产,,,,,,,,,,,,,,,
        应收票据及应收账款,"14,301.24","18,839.53","5,604.51","4,149.27",246.33,244.46,246.66,,,,,,,,0.01
                    应收票据,,,,,,,,,,,,,,,
                    应收账款,"14,301.24","18,839.53","5,604.51","4,149.27",246.33,244.46,246.66,,,,,,,,0.01
    应收款项融资,,,,,,,,,,,,,,,
    预付款项,"1,694.73","2,530.39","1,629.43","1,562.33","1,857.77","1,720.14","1,836.64","1,699.79",727.95,"2,188.25","2,066.10","3,694.62","5,578.36","3,434.21","5,373.96"
        其他应收款(合计),"1,010.91","1,073.81","1,621.60","1,118.58","8,975.12","5,890.58","1,654.18",832.31,783.92,"1,662.77",589.84,674.33,141.46,"1,641.92","2,293.63"
                    应收股利,,,,,0.00,,,,,,,,,,
                    应收利息,,,,,"7,892.06","4,567.31",379.78,207.13,75.33,968.16,49.08,56.03,,,252.52
                    其他应收款,,"1,073.81","1,621.60","1,118.58","1,083.06","1,323.27","1,274.40",625.19,708.59,694.60,540.76,618.30,141.46,"1,641.92","2,041.11"
    买入返售金融资产,,,,,,,,,,,,,,,
    存货,"205,858.54","239,164.12","222,681.90","209,992.09","180,276.07","120,332.83","104,112.02","93,988.43","99,992.40","115,420.83","101,324.48","85,269.67","70,805.15","60,005.63","59,707.19"
    其中：消耗性生物资产,,,,,,,,,,,,,,,
    合同资产,,,,,,,,,,,,,,,
    划分为持有待售的资产,,,,,,,,,,,,,,,
    一年内到期的非流动资产,,,,,,,,,,,,,,,
    待摊费用,,,,,,,,,,,,,,,
    其他流动资产,"6,587.97","5,253.95","7,191.27","1,950.38","2,213.91","506,867.10","510,301.28","266,642.38","164,062.44","72,232.70","10,636.24","6,553.02","6,587.20","7,874.15","42,460.77"
        其他金融类流动资产,,,,,,,,,,,,,,,
    流动资产差额(特殊报表科目),,,,,,,,,,,,,,,
    流动资产差额(合计平衡项目),,,,,,,,,,,,,,,
    流动资产合计,"2,747,976.47","2,697,358.84","2,757,887.33","2,420,013.67","2,026,936.71","1,580,776.10","1,179,442.71","882,820.37","717,475.82","703,261.07","341,100.53","346,474.94","227,531.07","194,351.46","281,526.20"
非流动资产：,,,,,,,,,,,,,,,
    发放贷款及垫款,,,,,,,,,,,,,,,
    以公允价值且其变动计入其他综合收益的金融资产,,,,,,,,,,,,,,,
    以摊余成本计量的金融资产,,,,,,,,,,,,,,,
    债权投资,,,,,,,,,,,,,,,
    其他债权投资,,,,,,,,,,,,,,,
    可供出售金融资产,,,,,0.00,10.00,10.00,10.00,10.00,10.00,,,,,
    其他权益工具投资,,,,,,,,,,,,,,,
    持有至到期投资,,,,,,,,,,,,,,,
    其他非流动金融资产,10.00,10.00,10.00,10.00,10.00,,,,,,,,,,
    长期应收款,,,,,,,,,,,,,,,
    长期股权投资,,,,,,,,,,,10.00,10.00,10.00,10.00,10.00
    投资性房地产,404.04,413.13,449.67,491.26,542.45,612.85,470.51,531.44,592.38,653.31,714.24,604.45,615.96,153.57,160.43
        固定资产(合计),"418,310.84","420,678.07","361,422.26","391,391.42","344,825.65","374,550.43","364,964.68","383,028.53","326,364.46","319,867.54","236,066.99","208,772.05","182,271.59","93,773.28","85,073.60"
                    固定资产,"418,310.84","420,678.07","361,422.26","391,391.42","344,825.65","374,550.43","364,964.68","383,028.53","326,364.46","319,867.54","236,066.99","208,772.05","182,271.59","93,773.28","85,073.60"
                    固定资产清理,,,0.00,,,,,,,,,,,,
        在建工程(合计),"127,513.47","117,987.83","92,316.40","36,880.38","49,351.54","25,230.26","61,513.56","58,241.55","78,664.06","50,465.31","74,317.79","37,393.95","38,121.96","90,805.55","19,271.90"
                    在建工程,"127,513.47","117,987.83","92,316.40","36,880.38","49,351.54","25,230.26","61,513.56","58,241.55","78,664.06","50,465.31","74,317.79","37,393.95","38,121.96","90,805.55","19,271.90"
                    工程物资,,,0.00,,,,,,,,,,,,
    生产性生物资产,,,,,,,,,,,,,,,
    油气资产,,,,,,,,,,,,,,,
    使用权资产,"3,961.71","4,342.90","7,363.23",,,,,,,,,,,,
    无形资产,"76,235.47","68,464.38","37,666.60","38,529.88","13,837.06","14,356.66","14,956.78","14,001.57","14,414.49","14,869.39","8,187.47","13,605.54","13,604.64","13,616.98","13,195.91"
    开发支出,,,,,,,,,,,,,,,
    商誉,"21,042.84","21,042.84","3,057.84","3,057.84","1,509.05","3,226.83","3,226.83","1,717.78","1,717.78","1,717.78",,,,,
    长期待摊费用,964.10,"1,101.58",822.17,455.09,8.71,,,,,,,,,191.66,
    递延所得税资产,"57,820.20","65,332.63","69,840.84","62,532.47","38,367.64","14,461.49","7,861.90","5,733.35","9,890.16","8,461.81","6,551.17","4,159.50","3,007.93","1,739.87","1,353.16"
    其他非流动资产,"1,565.16","9,185.38","2,936.11",,0.00,"1,154.26","1,154.26",274.69,671.06,753.24,"5,264.15",,,,
